Sequence,Mean Δt (frames),#Matching Points,Δt Values
FaceTalk_170731_00024_TA_sentence28_condition_FaceTalk_170904_00128_TA.npy,3.00,5,1;5;0;2;7
FaceTalk_170731_00024_TA_sentence28_condition_FaceTalk_170904_03276_TA.npy,4.00,3,4;5;3
FaceTalk_170731_00024_TA_sentence28_condition_FaceTalk_170912_03278_TA.npy,3.00,3,5;3;1
FaceTalk_170731_00024_TA_sentence28_condition_FaceTalk_170913_03279_TA.npy,4.67,6,4;5;8;2;7;2
FaceTalk_170731_00024_TA_sentence28_condition_FaceTalk_170915_00223_TA.npy,5.17,6,5;5;9;3;8;1
FaceTalk_170731_00024_TA_sentence29_condition_FaceTalk_170725_00137_TA.npy,5.00,5,4;5;2;5;9
FaceTalk_170731_00024_TA_sentence29_condition_FaceTalk_170728_03272_TA.npy,4.67,6,3;4;5;2;5;9
FaceTalk_170731_00024_TA_sentence29_condition_FaceTalk_170811_03274_TA.npy,5.67,3,5;3;9
FaceTalk_170731_00024_TA_sentence29_condition_FaceTalk_170904_00128_TA.npy,7.00,2,5;9
FaceTalk_170731_00024_TA_sentence29_condition_FaceTalk_170904_03276_TA.npy,5.33,3,3;4;9
FaceTalk_170731_00024_TA_sentence29_condition_FaceTalk_170912_03278_TA.npy,4.50,2,5;4
FaceTalk_170731_00024_TA_sentence29_condition_FaceTalk_170913_03279_TA.npy,6.50,2,4;9
FaceTalk_170731_00024_TA_sentence29_condition_FaceTalk_170915_00223_TA.npy,5.67,3,5;3;9
FaceTalk_170731_00024_TA_sentence30_condition_FaceTalk_170725_00137_TA.npy,4.80,5,8;4;3;4;5
FaceTalk_170731_00024_TA_sentence30_condition_FaceTalk_170728_03272_TA.npy,5.67,6,8;4;3;10;4;5
FaceTalk_170731_00024_TA_sentence30_condition_FaceTalk_170811_03274_TA.npy,4.40,5,7;4;2;4;5
FaceTalk_170731_00024_TA_sentence30_condition_FaceTalk_170904_00128_TA.npy,5.17,6,7;4;2;9;4;5
FaceTalk_170731_00024_TA_sentence30_condition_FaceTalk_170904_03276_TA.npy,6.00,5,8;3;10;4;5
FaceTalk_170731_00024_TA_sentence30_condition_FaceTalk_170912_03278_TA.npy,5.50,6,7;4;3;10;4;5
FaceTalk_170731_00024_TA_sentence30_condition_FaceTalk_170913_03279_TA.npy,4.11,9,8;4;3;2;1;0;10;4;5
FaceTalk_170731_00024_TA_sentence30_condition_FaceTalk_170915_00223_TA.npy,5.40,5,7;2;9;4;5
FaceTalk_170731_00024_TA_sentence31_condition_FaceTalk_170725_00137_TA.npy,9.25,4,5;5;10;17
FaceTalk_170731_00024_TA_sentence31_condition_FaceTalk_170728_03272_TA.npy,11.00,2,5;17
FaceTalk_170731_00024_TA_sentence31_condition_FaceTalk_170811_03274_TA.npy,8.20,5,4;5;4;11;17
FaceTalk_170731_00024_TA_sentence31_condition_FaceTalk_170904_00128_TA.npy,11.00,2,5;17
FaceTalk_170731_00024_TA_sentence31_condition_FaceTalk_170904_03276_TA.npy,9.25,4,5;5;10;17
FaceTalk_170731_00024_TA_sentence31_condition_FaceTalk_170912_03278_TA.npy,9.00,4,5;4;10;17
FaceTalk_170731_00024_TA_sentence31_condition_FaceTalk_170913_03279_TA.npy,9.00,3,5;5;17
FaceTalk_170731_00024_TA_sentence31_condition_FaceTalk_170915_00223_TA.npy,5.33,6,4;5;4;11;1;7
FaceTalk_170731_00024_TA_sentence32_condition_FaceTalk_170725_00137_TA.npy,4.00,6,4;4;2;5;0;9
FaceTalk_170731_00024_TA_sentence32_condition_FaceTalk_170728_03272_TA.npy,4.29,7,4;4;2;5;0;6;9
FaceTalk_170731_00024_TA_sentence32_condition_FaceTalk_170811_03274_TA.npy,4.89,9,3;4;6;2;5;7;0;8;9
FaceTalk_170731_00024_TA_sentence32_condition_FaceTalk_170904_00128_TA.npy,3.50,6,3;4;2;5;1;6
FaceTalk_170731_00024_TA_sentence32_condition_FaceTalk_170904_03276_TA.npy,4.38,8,4;4;6;1;5;0;6;9
FaceTalk_170731_00024_TA_sentence32_condition_FaceTalk_170912_03278_TA.npy,5.17,6,3;6;5;7;1;9
FaceTalk_170731_00024_TA_sentence32_condition_FaceTalk_170913_03279_TA.npy,4.00,7,4;4;4;2;5;0;9
FaceTalk_170731_00024_TA_sentence32_condition_FaceTalk_170915_00223_TA.npy,4.29,7,3;6;2;5;7;1;6
FaceTalk_170731_00024_TA_sentence33_condition_FaceTalk_170725_00137_TA.npy,8.33,3,14;5;6
FaceTalk_170731_00024_TA_sentence33_condition_FaceTalk_170728_03272_TA.npy,8.33,3,14;5;6
FaceTalk_170731_00024_TA_sentence33_condition_FaceTalk_170811_03274_TA.npy,9.50,2,14;5
FaceTalk_170731_00024_TA_sentence33_condition_FaceTalk_170904_00128_TA.npy,7.75,4,6;14;5;6
FaceTalk_170731_00024_TA_sentence33_condition_FaceTalk_170904_03276_TA.npy,8.33,3,14;5;6
FaceTalk_170731_00024_TA_sentence33_condition_FaceTalk_170912_03278_TA.npy,5.50,2,6;5
FaceTalk_170731_00024_TA_sentence33_condition_FaceTalk_170913_03279_TA.npy,8.00,3,14;5;5
FaceTalk_170731_00024_TA_sentence33_condition_FaceTalk_170915_00223_TA.npy,7.75,4,6;14;5;6
FaceTalk_170731_00024_TA_sentence34_condition_FaceTalk_170725_00137_TA.npy,3.78,9,6;0;4;5;3;3;4;3;6
FaceTalk_170731_00024_TA_sentence34_condition_FaceTalk_170728_03272_TA.npy,3.56,9,6;0;4;6;0;4;3;3;6
FaceTalk_170731_00024_TA_sentence34_condition_FaceTalk_170811_03274_TA.npy,3.17,6,6;0;4;5;0;4
FaceTalk_170731_00024_TA_sentence34_condition_FaceTalk_170904_00128_TA.npy,3.60,10,6;0;4;5;0;4;3;5;3;6
FaceTalk_170731_00024_TA_sentence34_condition_FaceTalk_170904_03276_TA.npy,4.00,4,6;0;4;6
FaceTalk_170731_00024_TA_sentence34_condition_FaceTalk_170912_03278_TA.npy,3.20,5,6;0;4;3;3
FaceTalk_170731_00024_TA_sentence34_condition_FaceTalk_170913_03279_TA.npy,3.80,10,6;0;4;6;6;0;4;4;3;5
FaceTalk_170731_00024_TA_sentence34_condition_FaceTalk_170915_00223_TA.npy,4.00,4,6;0;4;6
FaceTalk_170731_00024_TA_sentence35_condition_FaceTalk_170725_00137_TA.npy,No matching points,0,[]
FaceTalk_170731_00024_TA_sentence35_condition_FaceTalk_170728_03272_TA.npy,4.20,5,2;2;3;2;12
FaceTalk_170731_00024_TA_sentence35_condition_FaceTalk_170811_03274_TA.npy,3.71,7,3;2;2;2;3;2;12
FaceTalk_170731_00024_TA_sentence35_condition_FaceTalk_170904_00128_TA.npy,4.00,7,3;2;2;4;3;2;12
FaceTalk_170731_00024_TA_sentence35_condition_FaceTalk_170904_03276_TA.npy,4.20,5,2;2;3;2;12
FaceTalk_170731_00024_TA_sentence35_condition_FaceTalk_170912_03278_TA.npy,4.60,5,3;2;3;3;12
FaceTalk_170731_00024_TA_sentence35_condition_FaceTalk_170913_03279_TA.npy,4.43,7,3;2;2;3;2;12;7
FaceTalk_170731_00024_TA_sentence35_condition_FaceTalk_170915_00223_TA.npy,4.20,5,3;2;3;1;12
FaceTalk_170731_00024_TA_sentence36_condition_FaceTalk_170725_00137_TA.npy,3.33,12,2;4;6;3;3;1;4;7;0;1;1;8
FaceTalk_170731_00024_TA_sentence36_condition_FaceTalk_170728_03272_TA.npy,3.33,12,2;4;6;3;3;1;4;8;0;1;0;8
FaceTalk_170731_00024_TA_sentence36_condition_FaceTalk_170811_03274_TA.npy,3.40,10,2;4;0;6;3;3;3;1;4;8
FaceTalk_170731_00024_TA_sentence36_condition_FaceTalk_170904_00128_TA.npy,2.83,12,1;4;3;3;1;4;8;0;1;1;1;7
FaceTalk_170731_00024_TA_sentence36_condition_FaceTalk_170904_03276_TA.npy,3.88,8,2;4;6;3;3;1;4;8
FaceTalk_170731_00024_TA_sentence36_condition_FaceTalk_170912_03278_TA.npy,3.67,6,2;5;3;1;4;7
FaceTalk_170731_00024_TA_sentence36_condition_FaceTalk_170913_03279_TA.npy,3.27,11,2;4;6;3;1;4;7;0;1;0;8
FaceTalk_170731_00024_TA_sentence36_condition_FaceTalk_170915_00223_TA.npy,3.18,11,1;1;4;1;6;3;3;3;1;4;8
FaceTalk_170731_00024_TA_sentence37_condition_FaceTalk_170725_00137_TA.npy,3.78,9,2;8;2;7;2;1;5;7;0
FaceTalk_170731_00024_TA_sentence37_condition_FaceTalk_170728_03272_TA.npy,4.00,10,2;5;8;2;7;3;1;5;7;0
FaceTalk_170731_00024_TA_sentence37_condition_FaceTalk_170811_03274_TA.npy,4.22,9,2;5;8;2;7;2;5;7;0
FaceTalk_170731_00024_TA_sentence37_condition_FaceTalk_170904_00128_TA.npy,4.11,9,3;5;8;7;2;5;7;0;0
FaceTalk_170731_00024_TA_sentence37_condition_FaceTalk_170904_03276_TA.npy,3.50,10,2;8;2;7;3;1;5;7;0;0
FaceTalk_170731_00024_TA_sentence37_condition_FaceTalk_170912_03278_TA.npy,4.57,7,2;4;8;7;3;1;7
FaceTalk_170731_00024_TA_sentence37_condition_FaceTalk_170913_03279_TA.npy,4.00,11,2;5;8;4;2;7;3;1;5;7;0
FaceTalk_170731_00024_TA_sentence37_condition_FaceTalk_170915_00223_TA.npy,4.11,9,3;5;8;7;2;5;7;0;0
FaceTalk_170731_00024_TA_sentence38_condition_FaceTalk_170725_00137_TA.npy,3.11,9,6;3;3;2;0;4;3;7;0
FaceTalk_170731_00024_TA_sentence38_condition_FaceTalk_170728_03272_TA.npy,3.14,7,3;3;2;0;4;3;7
FaceTalk_170731_00024_TA_sentence38_condition_FaceTalk_170811_03274_TA.npy,3.62,8,6;3;3;2;0;4;4;7
FaceTalk_170731_00024_TA_sentence38_condition_FaceTalk_170904_00128_TA.npy,3.67,3,3;3;5
FaceTalk_170731_00024_TA_sentence38_condition_FaceTalk_170904_03276_TA.npy,3.11,9,6;3;3;2;0;4;3;7;0
FaceTalk_170731_00024_TA_sentence38_condition_FaceTalk_170912_03278_TA.npy,3.60,5,4;0;3;4;7
FaceTalk_170731_00024_TA_sentence38_condition_FaceTalk_170913_03279_TA.npy,3.11,9,6;3;3;2;0;4;3;7;0
FaceTalk_170731_00024_TA_sentence38_condition_FaceTalk_170915_00223_TA.npy,3.83,6,3;3;2;4;4;7
FaceTalk_170731_00024_TA_sentence39_condition_FaceTalk_170725_00137_TA.npy,5.30,10,1;3;3;8;3;10;5;5;9;6
FaceTalk_170731_00024_TA_sentence39_condition_FaceTalk_170728_03272_TA.npy,5.20,10,1;3;3;8;3;10;5;4;9;6
FaceTalk_170731_00024_TA_sentence39_condition_FaceTalk_170811_03274_TA.npy,5.00,10,1;3;3;8;3;10;5;4;4;9
FaceTalk_170731_00024_TA_sentence39_condition_FaceTalk_170904_00128_TA.npy,4.56,9,0;3;3;8;2;5;5;9;6
FaceTalk_170731_00024_TA_sentence39_condition_FaceTalk_170904_03276_TA.npy,5.00,2,1;9
FaceTalk_170731_00024_TA_sentence39_condition_FaceTalk_170912_03278_TA.npy,4.67,9,1;3;3;8;3;5;4;9;6
FaceTalk_170731_00024_TA_sentence39_condition_FaceTalk_170913_03279_TA.npy,5.00,9,1;3;3;8;3;10;4;4;9
FaceTalk_170731_00024_TA_sentence39_condition_FaceTalk_170915_00223_TA.npy,5.22,9,0;3;8;2;10;5;4;9;6
FaceTalk_170731_00024_TA_sentence40_condition_FaceTalk_170725_00137_TA.npy,4.50,8,5;3;3;6;4;5;3;7
FaceTalk_170731_00024_TA_sentence40_condition_FaceTalk_170728_03272_TA.npy,3.75,8,5;3;3;6;1;4;5;3
FaceTalk_170731_00024_TA_sentence40_condition_FaceTalk_170811_03274_TA.npy,4.62,8,5;3;3;6;7;4;5;4
FaceTalk_170731_00024_TA_sentence40_condition_FaceTalk_170904_00128_TA.npy,3.33,6,4;3;3;1;4;5
FaceTalk_170731_00024_TA_sentence40_condition_FaceTalk_170904_03276_TA.npy,4.00,7,5;3;3;6;4;5;2
FaceTalk_170731_00024_TA_sentence40_condition_FaceTalk_170912_03278_TA.npy,3.88,8,5;3;3;6;6;1;5;2
FaceTalk_170731_00024_TA_sentence40_condition_FaceTalk_170913_03279_TA.npy,4.38,8,5;3;3;6;6;4;5;3
FaceTalk_170731_00024_TA_sentence40_condition_FaceTalk_170915_00223_TA.npy,4.00,10,4;3;3;6;7;1;4;5;4;3
FaceTalk_170809_00138_TA_sentence21_condition_FaceTalk_170725_00137_TA.npy,3.20,5,7;2;1;5;1
FaceTalk_170809_00138_TA_sentence21_condition_FaceTalk_170728_03272_TA.npy,3.75,4,7;2;5;1
FaceTalk_170809_00138_TA_sentence21_condition_FaceTalk_170811_03274_TA.npy,5.67,3,6;5;6
FaceTalk_170809_00138_TA_sentence21_condition_FaceTalk_170904_00128_TA.npy,4.50,4,6;6;5;1
FaceTalk_170809_00138_TA_sentence21_condition_FaceTalk_170904_03276_TA.npy,4.33,3,7;5;1
FaceTalk_170809_00138_TA_sentence21_condition_FaceTalk_170912_03278_TA.npy,5.14,7,6;5;5;5;4;5;6
FaceTalk_170809_00138_TA_sentence21_condition_FaceTalk_170913_03279_TA.npy,4.75,4,7;2;5;5
FaceTalk_170809_00138_TA_sentence21_condition_FaceTalk_170915_00223_TA.npy,4.60,5,6;5;5;6;1
FaceTalk_170809_00138_TA_sentence22_condition_FaceTalk_170725_00137_TA.npy,4.00,3,1;3;8
FaceTalk_170809_00138_TA_sentence22_condition_FaceTalk_170728_03272_TA.npy,4.00,3,1;3;8
FaceTalk_170809_00138_TA_sentence22_condition_FaceTalk_170811_03274_TA.npy,4.00,3,1;3;8
FaceTalk_170809_00138_TA_sentence22_condition_FaceTalk_170904_00128_TA.npy,4.00,3,1;3;8
FaceTalk_170809_00138_TA_sentence22_condition_FaceTalk_170904_03276_TA.npy,4.00,3,1;3;8
FaceTalk_170809_00138_TA_sentence22_condition_FaceTalk_170912_03278_TA.npy,4.50,2,1;8
FaceTalk_170809_00138_TA_sentence22_condition_FaceTalk_170913_03279_TA.npy,4.00,3,1;3;8
FaceTalk_170809_00138_TA_sentence22_condition_FaceTalk_170915_00223_TA.npy,4.00,3,1;3;8
FaceTalk_170809_00138_TA_sentence23_condition_FaceTalk_170725_00137_TA.npy,2.67,3,3;5;0
FaceTalk_170809_00138_TA_sentence23_condition_FaceTalk_170728_03272_TA.npy,No matching points,0,[]
FaceTalk_170809_00138_TA_sentence23_condition_FaceTalk_170811_03274_TA.npy,No matching points,0,[]
FaceTalk_170809_00138_TA_sentence23_condition_FaceTalk_170904_00128_TA.npy,4.33,3,10;0;3
FaceTalk_170809_00138_TA_sentence23_condition_FaceTalk_170904_03276_TA.npy,No matching points,0,[]
FaceTalk_170809_00138_TA_sentence23_condition_FaceTalk_170912_03278_TA.npy,No matching points,0,[]
FaceTalk_170809_00138_TA_sentence23_condition_FaceTalk_170913_03279_TA.npy,2.00,1,2
FaceTalk_170809_00138_TA_sentence23_condition_FaceTalk_170915_00223_TA.npy,No matching points,0,[]
FaceTalk_170809_00138_TA_sentence24_condition_FaceTalk_170725_00137_TA.npy,2.25,4,2;0;3;4
FaceTalk_170809_00138_TA_sentence24_condition_FaceTalk_170728_03272_TA.npy,2.00,3,0;2;4
FaceTalk_170809_00138_TA_sentence24_condition_FaceTalk_170811_03274_TA.npy,1.57,7,0;0;2;2;0;3;4
FaceTalk_170809_00138_TA_sentence24_condition_FaceTalk_170904_00128_TA.npy,2.33,3,0;3;4
FaceTalk_170809_00138_TA_sentence24_condition_FaceTalk_170904_03276_TA.npy,2.00,3,2;0;4
FaceTalk_170809_00138_TA_sentence24_condition_FaceTalk_170912_03278_TA.npy,3.83,6,2;2;2;4;4;9
FaceTalk_170809_00138_TA_sentence24_condition_FaceTalk_170913_03279_TA.npy,3.80,5,0;2;4;4;9
FaceTalk_170809_00138_TA_sentence24_condition_FaceTalk_170915_00223_TA.npy,2.60,5,2;0;4;3;4
FaceTalk_170809_00138_TA_sentence25_condition_FaceTalk_170725_00137_TA.npy,6.00,2,7;5
FaceTalk_170809_00138_TA_sentence25_condition_FaceTalk_170728_03272_TA.npy,6.00,2,7;5
FaceTalk_170809_00138_TA_sentence25_condition_FaceTalk_170811_03274_TA.npy,6.00,2,7;5
FaceTalk_170809_00138_TA_sentence25_condition_FaceTalk_170904_00128_TA.npy,6.00,2,7;5
FaceTalk_170809_00138_TA_sentence25_condition_FaceTalk_170904_03276_TA.npy,5.00,1,5
FaceTalk_170809_00138_TA_sentence25_condition_FaceTalk_170912_03278_TA.npy,5.00,1,5
FaceTalk_170809_00138_TA_sentence25_condition_FaceTalk_170913_03279_TA.npy,5.00,4,12;1;2;5
FaceTalk_170809_00138_TA_sentence25_condition_FaceTalk_170915_00223_TA.npy,6.00,2,7;5
FaceTalk_170809_00138_TA_sentence26_condition_FaceTalk_170725_00137_TA.npy,3.40,5,5;2;3;3;4
FaceTalk_170809_00138_TA_sentence26_condition_FaceTalk_170728_03272_TA.npy,3.80,5,5;5;2;3;4
FaceTalk_170809_00138_TA_sentence26_condition_FaceTalk_170811_03274_TA.npy,3.60,5,5;5;2;2;4
FaceTalk_170809_00138_TA_sentence26_condition_FaceTalk_170904_00128_TA.npy,3.80,5,5;3;3;3;5
FaceTalk_170809_00138_TA_sentence26_condition_FaceTalk_170904_03276_TA.npy,3.67,6,4;5;2;3;4;4
FaceTalk_170809_00138_TA_sentence26_condition_FaceTalk_170912_03278_TA.npy,6.00,1,6
FaceTalk_170809_00138_TA_sentence26_condition_FaceTalk_170913_03279_TA.npy,3.80,5,5;5;2;3;4
FaceTalk_170809_00138_TA_sentence26_condition_FaceTalk_170915_00223_TA.npy,3.33,6,5;5;2;2;2;4
FaceTalk_170809_00138_TA_sentence27_condition_FaceTalk_170725_00137_TA.npy,4.67,9,8;4;12;2;1;2;7;2;4
FaceTalk_170809_00138_TA_sentence27_condition_FaceTalk_170728_03272_TA.npy,6.33,6,8;4;12;8;2;4
FaceTalk_170809_00138_TA_sentence27_condition_FaceTalk_170811_03274_TA.npy,6.00,5,4;12;8;2;4
FaceTalk_170809_00138_TA_sentence27_condition_FaceTalk_170904_00128_TA.npy,4.67,9,7;4;12;2;2;2;7;2;4
FaceTalk_170809_00138_TA_sentence27_condition_FaceTalk_170904_03276_TA.npy,6.33,6,8;4;12;8;2;4
FaceTalk_170809_00138_TA_sentence27_condition_FaceTalk_170912_03278_TA.npy,7.50,2,4;11
FaceTalk_170809_00138_TA_sentence27_condition_FaceTalk_170913_03279_TA.npy,6.00,6,8;4;11;7;2;4
FaceTalk_170809_00138_TA_sentence27_condition_FaceTalk_170915_00223_TA.npy,7.67,3,7;4;12
FaceTalk_170809_00138_TA_sentence28_condition_FaceTalk_170725_00137_TA.npy,3.20,5,7;7;1;1;0
FaceTalk_170809_00138_TA_sentence28_condition_FaceTalk_170728_03272_TA.npy,3.00,6,7;7;1;1;2;0
FaceTalk_170809_00138_TA_sentence28_condition_FaceTalk_170811_03274_TA.npy,3.12,8,7;7;1;1;1;6;2;0
FaceTalk_170809_00138_TA_sentence28_condition_FaceTalk_170904_00128_TA.npy,3.43,7,7;7;1;1;6;2;0
FaceTalk_170809_00138_TA_sentence28_condition_FaceTalk_170904_03276_TA.npy,3.00,6,7;7;1;1;2;0
FaceTalk_170809_00138_TA_sentence28_condition_FaceTalk_170912_03278_TA.npy,3.50,4,7;5;2;0
FaceTalk_170809_00138_TA_sentence28_condition_FaceTalk_170913_03279_TA.npy,3.60,5,7;7;1;1;2
FaceTalk_170809_00138_TA_sentence28_condition_FaceTalk_170915_00223_TA.npy,3.40,5,7;6;2;2;0
FaceTalk_170809_00138_TA_sentence29_condition_FaceTalk_170725_00137_TA.npy,3.67,6,2;4;4;2;6;4
FaceTalk_170809_00138_TA_sentence29_condition_FaceTalk_170728_03272_TA.npy,3.67,6,2;4;4;2;6;4
FaceTalk_170809_00138_TA_sentence29_condition_FaceTalk_170811_03274_TA.npy,4.00,5,2;4;4;6;4
FaceTalk_170809_00138_TA_sentence29_condition_FaceTalk_170904_00128_TA.npy,3.60,5,2;4;4;2;6
FaceTalk_170809_00138_TA_sentence29_condition_FaceTalk_170904_03276_TA.npy,3.67,6,2;4;4;2;6;4
FaceTalk_170809_00138_TA_sentence29_condition_FaceTalk_170912_03278_TA.npy,2.67,3,0;2;6
